C:\Users\eric\Documents\ML - ver2\data_2017-05-23-08-29-56.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
08:29:56.411 AM,113.9917, 130.8169, -270.1056,351.2979, 197.8655, 345.914,113.9917, 130.8169, -270.1056,351.2979, 197.8655, 345.914
08:29:56.415 AM,113.9917, 130.8169, -270.1056,351.2979, 197.8655, 345.914,0, 0, 0,0, 0, 0
08:29:56.669 AM,113.993, 130.826, -270.1049,351.2947, 197.8641, 345.9152,0.001335144, 0.009155273, 0.0006713867,-0.003173828, -0.00138855, 0.001159668
08:29:56.679 AM,114.0134, 130.8303, -270.1595,351.2963, 197.8448, 345.8993,0.02037811, 0.004302979, -0.05465698,0.001586914, -0.01934814, -0.01589966
08:29:56.689 AM,114.0167, 130.851, -270.1534,351.2863, 197.8413, 345.9032,0.003318787, 0.02067566, 0.006195068,-0.01000977, -0.003417969, 0.003936768
08:29:56.700 AM,114.0192, 130.8531, -270.1547,351.2921, 197.8405, 345.9071,0.00252533, 0.002090454, -0.001373291,0.005828857, -0.000869751, 0.003845215
08:29:56.711 AM,113.997, 130.8508, -270.1416,351.288, 197.8522, 345.9038,-0.02219391, -0.002243042, 0.01315308,-0.004089355, 0.01174927, -0.003234863
08:29:56.722 AM,114.0194, 130.8422, -270.1567,351.2953, 197.8415, 345.9049,0.02238464, -0.008666992, -0.01513672,0.007293701, -0.01071167, 0.001098633
08:29:56.733 AM,114.0473, 130.8737, -270.1623,351.2892, 197.8249, 345.9148,0.02783966, 0.03153992, -0.005554199,-0.006134033, -0.01663208, 0.009857178
08:29:56.745 AM,114.0205, 130.8551, -270.1512,351.2966, 197.8407, 345.9123,-0.02671814, -0.01863098, 0.01107788,0.007446289, 0.01579285, -0.002471924
08:29:56.756 AM,114.0159, 130.8191, -270.1684,351.2898, 197.843, 345.8983,-0.004600525, -0.03601074, -0.0171814,-0.006866455, 0.002380371, -0.01400757
