C:\Users\eric\Documents\ML - ver2\data_2017-05-23-08-39-25.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
08:39:25.554 AM,178.6002, 143.5449, -228.6497,350.872, 184.4942, 349.5315,178.6002, 143.5449, -228.6497,350.872, 184.4942, 349.5315
08:39:25.559 AM,178.6002, 143.5449, -228.6497,350.872, 184.4942, 349.5315,0, 0, 0,0, 0, 0
08:39:25.865 AM,178.5972, 143.5416, -228.6496,350.8721, 184.4961, 349.5306,-0.002990723, -0.003265381, 0.0001220703,0.0001220703, 0.00189209, -0.0009155273
08:39:25.874 AM,178.5829, 143.6169, -228.6901,350.8873, 184.5004, 349.5421,-0.01426697, 0.07525635, -0.04051208,0.01522827, 0.004272461, 0.01156616
08:39:25.889 AM,178.5809, 143.6307, -228.7012,350.8839, 184.499, 349.5485,-0.00201416, 0.0138092, -0.0111084,-0.003417969, -0.00138855, 0.006317139
08:39:25.895 AM,178.6078, 143.6493, -228.7022,350.896, 184.4883, 349.5663,0.02682495, 0.01861572, -0.0009307861,0.01208496, -0.01074219, 0.01782227
08:39:25.907 AM,178.5873, 143.5947, -228.7,350.8992, 184.4992, 349.5504,-0.02049255, -0.05458069, 0.002212524,0.003234863, 0.01097107, -0.01589966
08:39:25.930 AM,178.5515, 143.6131, -228.6845,350.8886, 184.5165, 349.5414,-0.0357666, 0.0184021, 0.01545715,-0.01062012, 0.01728821, -0.009033203
08:39:25.951 AM,178.592, 143.6527, -228.6682,350.8834, 184.4947, 349.5547,0.04049683, 0.03955078, 0.01628113,-0.005218506, -0.02182007, 0.01339722
08:39:25.963 AM,178.5999, 143.6372, -228.6749,350.8777, 184.4879, 349.5443,0.007949829, -0.01545715, -0.006729126,-0.005645752, -0.006744385, -0.01049805
08:39:25.974 AM,178.5787, 143.6141, -228.6684,350.893, 184.506, 349.5476,-0.02128601, -0.0231781, 0.006591797,0.01522827, 0.01802063, 0.003326416
08:39:25.987 AM,178.6148, 143.6546, -228.6762,350.8872, 184.4841, 349.5571,0.03614807, 0.04051208, -0.007873535,-0.00579834, -0.02182007, 0.009490967
08:39:25.996 AM,178.6019, 143.6739, -228.6665,350.8781, 184.4897, 349.5591,-0.01295471, 0.01931763, 0.009750366,-0.009033203, 0.005554199, 0.00201416
08:39:26.007 AM,178.6034, 143.6621, -228.6595,350.8957, 184.4975, 349.5704,0.001586914, -0.01174927, 0.006958008,0.01757813, 0.007827759, 0.01135254
08:39:26.018 AM,178.6056, 143.6476, -228.6758,350.8853, 184.4918, 349.5551,0.002166748, -0.01455688, -0.0163269,-0.01040649, -0.005767822, -0.01528931
08:39:26.029 AM,178.6064, 143.6719, -228.6681,350.8794, 184.4911, 349.562,0.0008392334, 0.02430725, 0.007705688,-0.00592041, -0.0006713867, 0.006835938
08:39:26.040 AM,178.6472, 143.6309, -228.6777,350.8918, 184.4742, 349.558,0.04072571, -0.04098511, -0.00958252,0.01239014, -0.0168457, -0.003936768
08:39:26.052 AM,178.6252, 143.6526, -228.6837,350.8892, 184.4839, 349.5605,-0.0219574, 0.02172852, -0.006011963,-0.002624512, 0.00970459, 0.002410889
08:39:26.063 AM,178.5956, 143.6284, -228.6865,350.8817, 184.4975, 349.5427,-0.02957153, -0.02424622, -0.002761841,-0.007476807, 0.01359558, -0.01776123
08:39:26.074 AM,178.618, 143.6395, -228.6704,350.8947, 184.4891, 349.5664,0.02230835, 0.01112366, 0.01612854,0.01303101, -0.008483887, 0.02368164
08:39:26.085 AM,178.6024, 143.6361, -228.6823,350.8826, 184.4901, 349.5449,-0.01551819, -0.003372192, -0.01193237,-0.01211548, 0.001022339, -0.02151489
08:39:26.096 AM,178.6089, 143.6492, -228.6794,350.883, 184.4872, 349.551,0.006515503, 0.01306152, 0.002944946,0.0004272461, -0.002914429, 0.006103516
08:39:26.107 AM,178.5995, 143.6233, -228.6694,350.8907, 184.4938, 349.5517,-0.00944519, -0.02587891, 0.009994507,0.00769043, 0.006652832, 0.0007629395
08:39:26.119 AM,178.551, 143.6657, -228.6576,350.8721, 184.5142, 349.5476,-0.04853821, 0.04240417, 0.01173401,-0.01858521, 0.02037048, -0.004089355
08:39:26.130 AM,178.591, 143.6765, -228.6646,350.877, 184.4943, 349.556,0.04000854, 0.01072693, -0.006942749,0.004821777, -0.01991272, 0.008361816
08:39:26.143 AM,178.5864, 143.6369, -228.6626,350.8911, 184.5004, 349.5539,-0.004608154, -0.03953552, 0.001937866,0.01412964, 0.006164551, -0.002075195
08:39:26.152 AM,178.5842, 143.6358, -228.6761,350.8839, 184.498, 349.5471,-0.002182007, -0.001083374, -0.01350403,-0.007141113, -0.002410889, -0.006835938
08:39:26.163 AM,178.5847, 143.639, -228.6754,350.8866, 184.4983, 349.5506,0.0005645752, 0.003128052, 0.0007019043,0.002685547, 0.0002441406, 0.003540039
08:39:26.174 AM,178.5905, 143.6341, -228.6734,350.9007, 184.4994, 349.5602,0.005722046, -0.004821777, 0.002044678,0.01403809, 0.00112915, 0.009552002
08:39:26.185 AM,178.5814, 143.6486, -228.6852,350.8877, 184.4976, 349.5487,-0.009048462, 0.01441956, -0.01177979,-0.01296997, -0.001831055, -0.01144409
08:39:26.197 AM,178.5661, 143.5893, -228.7029,350.8629, 184.4937, 349.5024,-0.01535034, -0.05924988, -0.01776123,-0.02484131, -0.003829956, -0.04629517
08:39:26.208 AM,178.5959, 143.7193, -228.6596,350.8832, 184.5008, 349.58,0.02987671, 0.1299591, 0.04328918,0.02038574, 0.007049561, 0.0776062
08:39:26.219 AM,178.7412, 143.6085, -228.7482,350.8823, 184.4106, 349.5325,0.1452484, -0.1107483, -0.08854675,-0.0009460449, -0.09014893, -0.0475769
08:39:26.230 AM,178.5871, 143.8586, -228.6331,350.8923, 184.5162, 349.6508,-0.1540985, 0.250061, 0.1151123,0.009979248, 0.1055756, 0.1183167
08:39:26.240 AM,178.6311, 143.4849, -228.7548,350.9537, 184.4859, 349.5315,0.04405212, -0.3736725, -0.1217041,0.06143188, -0.03027344, -0.1193237
08:39:26.251 AM,178.4291, 143.7413, -228.6488,350.9121, 184.5963, 349.6054,-0.2020416, 0.2564087, 0.1060181,-0.04159546, 0.1103668, 0.07391357
08:39:26.263 AM,178.1222, 143.6231, -228.6414,351.0433, 184.7975, 349.6426,-0.3069, -0.1182098, 0.007339478,0.1311646, 0.2011871, 0.03720093
08:39:26.274 AM,178.2245, 143.2088, -228.8027,351.2823, 184.7945, 349.6287,0.1022797, -0.4143524, -0.1612854,0.2390442, -0.003036499, -0.0138855
08:39:26.285 AM,178.0091, 143.5399, -228.6389,351.0669, 184.8589, 349.6146,-0.2153778, 0.3311768, 0.1638336,-0.2153931, 0.06442261, -0.01412964
08:39:26.296 AM,177.3952, 143.5185, -228.5228,351.0558, 185.1861, 349.5803,-0.6138916, -0.02146912, 0.1161194,-0.01113892, 0.3271942, -0.03427124
08:39:26.308 AM,175.9383, 143.2277, -228.3377,351.3027, 186.0352, 349.576,-1.456879, -0.290741, 0.1850281,0.2469177, 0.8491364, -0.004333496
08:39:26.319 AM,173.6434, 143.6706, -227.6967,351.3026, 187.3129, 349.7165,-2.294891, 0.4428711, 0.641037,-0.0001220703, 1.277649, 0.1405029
08:39:26.330 AM,170.1677, 143.4767, -226.9934,351.4406, 189.2306, 349.6196,-3.475784, -0.1938629, 0.7032623,0.1380615, 1.917694, -0.09683228
08:39:26.341 AM,166.6557, 143.2707, -226.2384,351.8228, 191.24, 349.6996,-3.512009, -0.2060394, 0.7550049,0.3821411, 2.009415, 0.08001709
08:39:26.352 AM,163.4046, 142.4949, -225.5903,352.5252, 193.2095, 349.8181,-3.251038, -0.7758026, 0.6480713,0.7023926, 1.969498, 0.1184082
08:39:26.363 AM,158.6458, 141.6323, -224.5601,353.2521, 195.9957, 349.8785,-4.758774, -0.8625641, 1.030258,0.7268982, 2.786209, 0.06045532
08:39:26.375 AM,151.7206, 140.8661, -222.7388,354.2188, 200.0544, 350.1442,-6.925262, -0.7662354, 1.82132,0.9667053, 4.058762, 0.265686
08:39:26.386 AM,143.2902, 140.5928, -219.7961,356.0244, 205.4192, 351.4631,-8.430374, -0.2733154, 2.942642,1.805634, 5.364746, 1.318909
08:39:26.397 AM,136.3616, 143.254, -216.3259,357.7256, 210.5023, 354.0918,-6.928589, 2.661179, 3.4702,1.701172, 5.083069, 2.628662
08:39:26.408 AM,131.6144, 147.0559, -213.2482,359.511, 215.0673, 357.444,-4.747223, 3.801926, 3.077744,1.785431, 4.565063, 3.352234
08:39:26.421 AM,128.2594, 150.6165, -210.7024,1.436648, 219.5291, 1.098958,-3.35498, 3.560669, 2.545792,-358.0744, 4.461731, -356.345
08:39:26.430 AM,125.3223, 152.7404, -208.6687,2.924248, 223.5039, 3.868226,-2.937157, 2.12384, 2.033661,1.4876, 3.974823, 2.769269
08:39:26.441 AM,122.9641, 152.4772, -207.9245,4.596728, 226.6823, 5.85267,-2.358116, -0.2632294, 0.7442169,1.672481, 3.178452, 1.984444
08:39:26.452 AM,122.2358, 150.2058, -208.4883,6.92595, 229.2118, 8.053438,-0.728363, -2.271393, -0.5638275,2.329221, 2.52951, 2.200768
08:39:26.464 AM,120.7741, 148.5573, -208.556,8.905286, 232.3524, 10.3157,-1.461723, -1.648453, -0.06764221,1.979336, 3.140579, 2.262259
08:39:26.475 AM,115.939, 149.5855, -206.1405,9.696836, 237.7912, 12.71051,-4.835045, 1.028198, 2.415466,0.7915497, 5.438812, 2.394812
08:39:26.487 AM,108.7858, 152.8631, -200.8296,9.0261, 244.4082, 14.51605,-7.153236, 3.277603, 5.310913,-0.6707354, 6.616959, 1.805543
08:39:26.497 AM,102.3141, 155.9316, -195.6127,8.32865, 251.0284, 16.22984,-6.471634, 3.068527, 5.216873,-0.6974497, 6.620255, 1.713783
08:39:26.520 AM,83.15929, 172.3109, -173.7355,3.425502, 272.6486, 18.69163,-19.15485, 16.37924, 21.87726,-4.903149, 21.62012, 2.461794
08:39:26.542 AM,73.62525, 186.9194, -156.8297,359.8852, 287.0069, 18.02648,-9.534042, 14.60855, 16.90578,356.4597, 14.35831, -0.6651497
08:39:26.565 AM,72.24203, 186.9785, -157.0027,359.8289, 298.4626, 20.40277,-1.383217, 0.05906677, -0.1730499,-0.05636597, 11.45572, 2.376293
08:39:26.587 AM,67.83852, 184.6686, -156.9506,359.6617, 308.7088, 20.76535,-4.403511, -2.309906, 0.05218506,-0.1671753, 10.24622, 0.3625793
08:39:26.610 AM,63.21125, 196.9323, -144.9346,357.783, 320.0987, 16.89656,-4.627274, 12.26366, 12.01593,-1.878662, 11.38989, -3.868792
08:39:26.632 AM,58.45426, 206.2491, -132.6312,357.1309, 330.4088, 12.70829,-4.756989, 9.316895, 12.30342,-0.6520996, 10.31012, -4.188273
08:39:26.643 AM,57.44488, 204.9202, -133.4663,357.3293, 329.4785, 13.04332,-1.00938, -1.328903, -0.835083,0.1984253, -0.9302979, 0.3350363
08:39:26.654 AM,54.90187, 205.4386, -131.2601,357.4433, 333.4527, 11.76224,-2.543007, 0.5183716, 2.206192,0.1139221, 3.974152, -1.28108
08:39:26.676 AM,51.536, 211.8363, -124.9148,357.8188, 344.2638, 7.524143,-3.365875, 6.39772, 6.345314,0.3755493, 10.8111, -4.2381
08:39:26.698 AM,51.13442, 215.1951, -123.7215,358.0047, 346.4442, 6.538302,-0.4015808, 3.358749, 1.19326,0.1858826, 2.180481, -0.9858408
08:39:26.721 AM,53.07056, 217.3669, -127.0958,357.9763, 346.7083, 6.598633,1.936138, 2.171799, -3.374313,-0.02835083, 0.2640686, 0.06033039
08:39:26.744 AM,53.87051, 215.5443, -133.1094,357.9489, 345.9847, 7.326284,0.7999535, -1.82254, -6.013535,-0.0274353, -0.7236328, 0.7276511
08:39:26.766 AM,53.6552, 215.3049, -136.0138,357.9907, 345.6159, 7.6875,-0.215313, -0.2394409, -2.904434,0.04180908, -0.3687439, 0.3612161
08:39:26.788 AM,52.97495, 218.9633, -134.8042,358.1599, 347.5177, 6.669239,-0.6802444, 3.658386, 1.20961,0.1691589, 1.901733, -1.018261
08:39:26.799 AM,51.99313, 220.2209, -132.4866,358.2593, 348.3943, 6.113152,-0.9818192, 1.257614, 2.317627,0.09942627, 0.8766785, -0.556087
08:39:26.810 AM,50.00002, 221.8198, -130.3089,358.4908, 350.141, 5.171212,-1.993111, 1.598923, 2.177704,0.2314758, 1.746643, -0.9419403
08:39:26.821 AM,46.62452, 222.8029, -126.8738,358.8156, 352.2961, 4.008556,-3.375504, 0.9830933, 3.435066,0.3248596, 2.15506, -1.162655
08:39:26.833 AM,42.71693, 224.1132, -122.304,359.2558, 355.267, 2.440278,-3.907585, 1.310242, 4.569771,0.4401245, 2.970978, -1.568278
08:39:26.843 AM,38.19112, 226.3154, -115.8014,359.9074, 359.4384, 0.285386,-4.525818, 2.20224, 6.502602,0.6516113, 4.171326, -2.154892
08:39:26.866 AM,27.13622, 232.2877, -96.48886,1.951282, 10.70817, 354.8455,-11.0549, 5.972336, 19.31257,-357.9561, -348.7302, 354.5601
08:39:26.889 AM,22.29915, 238.6489, -79.87882,3.784273, 19.18493, 351.4342,-4.837072, 6.361176, 16.61004,1.83299, 8.476764, -3.411316
08:39:26.911 AM,21.40584, 246.3138, -64.65898,6.048278, 27.61561, 348.6615,-0.8933067, 7.664902, 15.21984,2.264006, 8.430677, -2.772644
08:39:26.934 AM,23.08536, 253.3116, -52.08503,8.401566, 34.96367, 346.8341,1.679516, 6.997757, 12.57395,2.353287, 7.348057, -1.827454
08:39:26.956 AM,24.19345, 257.4633, -41.91311,10.02921, 40.34423, 345.9891,1.108099, 4.151688, 10.17192,1.627643, 5.380562, -0.8450012
08:39:26.978 AM,21.96493, 257.1316, -35.21684,10.65864, 43.71699, 345.2592,-2.228523, -0.3316345, 6.696262,0.6294365, 3.372757, -0.7298584
08:39:27.000 AM,14.19293, 249.9736, -31.76288,9.710509, 44.34198, 344.4071,-7.772005, -7.158066, 3.453962,-0.9481354, 0.6249886, -0.8520813
08:39:27.023 AM,9.047853, 244.7599, -26.82235,9.03774, 45.44818, 343.9161,-5.145073, -5.213638, 4.940527,-0.6727695, 1.106205, -0.4910583
08:39:27.045 AM,8.830333, 244.7225, -19.98688,10.03177, 49.40696, 342.9391,-0.2175207, -0.03738403, 6.835474,0.9940348, 3.958778, -0.9769592
08:39:27.067 AM,6.909692, 242.4429, -12.68834,10.73589, 53.33178, 341.6411,-1.92064, -2.279633, 7.298537,0.7041111, 3.92482, -1.297974
08:39:27.090 AM,-0.2395511, 233.3491, -5.708219,9.660503, 55.06006, 340.11,-7.149243, -9.093765, 6.980123,-1.075382, 1.728283, -1.531158
08:39:27.112 AM,-7.712567, 221.7268, 3.719044,7.935941, 56.77821, 338.6052,-7.473016, -11.62231, 9.427263,-1.724563, 1.718151, -1.504791
08:39:27.134 AM,-13.2792, 209.9801, 15.98605,6.191872, 59.59996, 336.9694,-5.566633, -11.74677, 12.267,-1.744069, 2.821743, -1.635773
08:39:27.157 AM,-16.48147, 199.6043, 28.46408,4.865656, 63.23946, 334.8943,-3.202272, -10.37575, 12.47803,-1.326216, 3.639507, -2.075104
08:39:27.179 AM,-16.21966, 195.5503, 38.46345,5.41978, 68.24567, 331.7769,0.2618084, -4.054001, 9.999372,0.5541239, 5.00621, -3.117462
08:39:27.202 AM,-17.77394, 188.2999, 45.2188,5.250663, 70.72459, 328.4361,-1.554274, -7.250397, 6.755344,-0.169117, 2.478912, -3.34079
08:39:27.224 AM,-19.04469, 181.699, 49.7229,4.724296, 71.6945, 326.2081,-1.270748, -6.600876, 4.504105,-0.5263672, 0.9699097, -2.227997
08:39:27.246 AM,-20.3001, 177.1295, 51.17304,4.546839, 71.67589, 324.3444,-1.255417, -4.569565, 1.450138,-0.1774569, -0.01860809, -1.863678
08:39:27.282 AM,-22.05217, 173.8497, 49.72722,4.536991, 70.57262, 322.8412,-1.752068, -3.279785, -1.445816,-0.009848118, -1.103271, -1.503235
08:39:27.316 AM,-22.51527, 177.268, 44.69357,5.884122, 69.61115, 322.3234,-0.4631042, 3.418274, -5.033653,1.347131, -0.9614716, -0.5177917
08:39:27.335 AM,-22.61687, 185.0401, 32.70716,7.705258, 66.77915, 323.619,-0.1016006, 7.772141, -11.9864,1.821136, -2.831993, 1.295654
08:39:27.358 AM,-27.59073, 179.2178, 18.64907,6.220948, 59.67831, 324.8181,-4.973854, -5.822311, -14.05809,-1.48431, -7.100838, 1.199036
08:39:27.380 AM,-30.06083, 176.3221, 5.574835,5.060047, 53.67764, 327.2494,-2.470098, -2.895645, -13.07424,-1.160902, -6.000679, 2.431335
08:39:27.403 AM,-29.15355, 179.8651, -5.624011,5.221576, 50.06115, 329.572,0.9072781, 3.542999, -11.19885,0.1615291, -3.616489, 2.322571
08:39:27.413 AM,-28.22089, 182.2113, -6.194623,5.593619, 50.35712, 329.8079,0.9326572, 2.346191, -0.5706124,0.3720431, 0.2959747, 0.2359009
08:39:27.425 AM,-27.25465, 184.1924, -11.93989,5.756414, 48.60241, 330.8621,0.966238, 1.981033, -5.745265,0.1627951, -1.754711, 1.05423
08:39:27.436 AM,-26.34174, 185.4728, -17.42349,5.780103, 46.77734, 331.903,0.9129181, 1.280396, -5.483603,0.02368927, -1.825073, 1.040863
08:39:27.458 AM,-23.25031, 187.601, -33.51271,5.614748, 41.19348, 334.799,3.091431, 2.128281, -16.08922,-0.1653557, -5.583855, 2.896088
08:39:27.483 AM,-21.28249, 187.1514, -43.84216,5.389502, 37.59872, 336.3005,1.967812, -0.4496002, -10.32945,-0.225246, -3.594761, 1.501465
08:39:27.502 AM,-20.60857, 184.3756, -51.94336,4.782942, 34.31452, 337.612,0.6739254, -2.775803, -8.101204,-0.6065598, -3.284199, 1.311462
08:39:27.514 AM,-21.47105, 183.2623, -51.01891,4.667085, 34.49106, 337.3761,-0.8624783, -1.113342, 0.9244576,-0.1158571, 0.1765404, -0.2358704
08:39:27.525 AM,-21.60323, 181.5617, -53.72865,4.486093, 33.48597, 337.561,-0.1321793, -1.700638, -2.709747,-0.1809916, -1.005089, 0.1848755
08:39:27.547 AM,-22.31965, 177.8893, -58.00382,4.421418, 32.39702, 337.0692,-0.7164249, -3.672363, -4.275166,-0.06467533, -1.088951, -0.4918213
08:39:27.570 AM,-24.1707, 176.0499, -55.97998,4.661734, 33.6434, 335.4874,-1.851046, -1.839371, 2.023834,0.2403159, 1.246376, -1.581787
08:39:27.592 AM,-25.86888, 176.3881, -51.99199,5.437485, 36.22678, 332.9514,-1.698185, 0.3381653, 3.987991,0.7757516, 2.583385, -2.53595
